ID,category,subcategory_1,subcategory_2,subcategory_3,fuel,capacity_min,capacity_max,distance_min,distance_max,city_size_min,city_size_max,country,city,value,unit,incertainties,DB_source,source,source_date
1,Transport,Passenger,Rail,Train,,,,,,,,France,,0.00529,kgCO2e/passager.km,60%,ADEME,ADEME,2019
2,Transport,Passenger,Rail,TGV,,,,,,,,France,,0.00173,kgCO2e/passager.km,60%,ADEME,ADEME,2019
3,Transport,Passenger,Rail,TER,,,,,,,,France,,0.0248,kgCO2e/passager.km,60%,ADEME,ADEME,2014
4,Transport,Passenger,Rail,TER,electric,,,,,,,France,,0.00891,kgCO2e/passager.km,60%,ADEME,ADEME,2014
5,Transport,Passenger,Rail,TER,diesel,,,,,,,France,,0.0798,kgCO2e/passager.km,60%,ADEME,ADEME,2014
6,Transport,Passenger,Rail,Metro,,,,,,,,France,Paris,0.0057,kgCO2e/passager.km,20%,ADEME,ADEME,2014
7,Transport,Passenger,Rail,RER,,,,,,,,France,Paris,0.0057,kgCO2e/passager.km,20%,ADEME,ADEME,2014
8,Transport,Passenger,Rail,Tramway,,,,,,,,France,Paris,0.006,kgCO2e/passager.km,20%,ADEME,ADEME,2014
9,Transport,Passenger,Rail,Metro,,,,,,0,250,France,,0.00681,kgCO2e/passager.km,60%,ADEME,ADEME,2014
10,Transport,Passenger,Rail,RER,,,,,,0,250,France,,0.00681,kgCO2e/passager.km,60%,ADEME,ADEME,2014
11,Transport,Passenger,Rail,Tramway,,,,,,0,250,France,,0.00681,kgCO2e/passager.km,60%,ADEME,ADEME,2014
12,Transport,Passenger,Rail,Metro,,,,,,250,100000,France,,0.00663,kgCO2e/passager.km,60%,ADEME,ADEME,2014
13,Transport,Passenger,Rail,RER,,,,,,250,100000,France,,0.00663,kgCO2e/passager.km,60%,ADEME,ADEME,2014
14,Transport,Passenger,Rail,Tramway,,,,,,250,100000,France,,0.00663,kgCO2e/passager.km,60%,ADEME,ADEME,2014
15,Transport,Passenger,Air,Plane,,,,0,500,,,World,,0.258,kgCO2e/passager.km,50%,ADEME,ADEME,2014
16,Transport,Passenger,Air,Plane,,,,500,5000,,,World,,0.187,kgCO2e/passager.km,50%,ADEME,ADEME,2014
17,Transport,Passenger,Air,Plane,,,,5000,6000000,,,World,,0.152,kgCO2e/passager.km,50%,ADEME,ADEME,2014
18,Transport,Passenger,Road,Coach,,,,,,,,France,,0.0295,kgCO2e/passager.km,60%,ADEME,ADEME,2014
19,Transport,Passenger,Road,Bus,,,,,,0,150,France,,0.104,kgCO2e/passager.km,60%,ADEME,ADEME,2014
20,Transport,Passenger,Road,Bus,,,,,,150,250,France,,0.167,kgCO2e/passager.km,60%,ADEME,ADEME,2014
21,Transport,Passenger,Road,Bus,,,,,,250,100000,France,,0.154,kgCO2e/passager.km,60%,ADEME,ADEME,2014
22,Transport,Passenger,Road,Car,petrol,,,,,,,France,,0.198,kgCO2e/km,20%,ADEME,ADEME,2018
23,Transport,Passenger,Road,Car,diesel,,,,,,,France,,0.186,kgCO2e/km,20%,ADEME,ADEME,2018
24,Transport,Passenger,Road,Car,avg,,,,,,,France,,0.178,kgCO2e/km,20%,ADEME,ADEME,2018
25,Transport,Passenger,Road,Carpooling,avg,,,,,,,France,,0.058,kgCO2e/km,20%,,Blablacar,2014
26,Transport,Passenger,Sea,Ferry,avg,,,,,,,France,,0.267,kgCO2e/km,20%,ADEME,https://www.tourdumondiste.com/limiter-son-empreinte-ecologique-en-voyage,2014